userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
mthain,Induced,137,eval_input,2020-02-21 09:19:38,4,6,,,,
mthain,Induced,138,eval_input,2020-02-21 09:19:39,5,10,,,,
mthain,Induced,139,eval_input,2020-02-21 09:19:40,6,15,,,,
mthain,Induced,140,eval_input,2020-02-21 09:19:42,10,45,,,,
mthain,Induced,141,eval_input,2020-02-21 09:19:45,100,4950,,,,
mthain,Induced,142,eval_input,2020-02-21 09:19:49,-1,1,,,,
mthain,Induced,143,eval_input,2020-02-21 09:19:50,-2,3,,,,
mthain,Induced,144,eval_input,2020-02-21 09:19:50,-3,6,,,,
mthain,Induced,145,eval_input,2020-02-21 09:19:51,-4,10,,,,
mthain,Induced,146,eval_input,2020-02-21 09:19:52,-5,15,,,,
mthain,Induced,147,eval_input,2020-02-21 09:19:53,-6,21,,,,
mthain,Induced,148,eval_input,2020-02-21 09:19:57,-10,55,,,,
mthain,Induced,149,eval_input,2020-02-21 09:20:00,-100,5050,,,,
mthain,Induced,150,eval_input,2020-02-21 09:20:18,-9,45,,,,
mthain,Induced,151,eval_input,2020-02-21 09:20:21,9,36,,,,
mthain,Induced,152,eval_input,2020-02-21 09:20:25,8,28,,,,
mthain,Induced,153,eval_input,2020-02-21 09:20:28,-8,36,,,,
mthain,Induced,154,eval_input,2020-02-21 09:20:30,-7,28,,,,
mthain,Induced,155,eval_input,2020-02-21 09:20:32,-7,28,,,,
mthain,Induced,156,eval_input,2020-02-21 09:21:21,7,21,,,,
mthain,Induced,157,eval_input,2020-02-21 09:21:23,6,15,,,,
mthain,Induced,158,eval_input,2020-02-21 09:21:27,-6,21,,,,
mthain,Induced,159,eval_input,2020-02-21 09:21:30,-5,15,,,,
mthain,Induced,160,eval_input,2020-02-21 09:21:31,5,10,,,,
mthain,Induced,161,eval_input,2020-02-21 09:21:35,0,0,,,,
mthain,Induced,162,eval_input,2020-02-21 09:21:36,-1,1,,,,
mthain,Induced,163,eval_input,2020-02-21 09:21:37,-2,3,,,,
mthain,Induced,164,eval_input,2020-02-21 09:21:41,-3,6,,,,
mthain,Induced,165,eval_input,2020-02-21 09:21:46,-4,10,,,,
mthain,Induced,166,eval_input,2020-02-21 09:21:49,-5,15,,,,
mthain,Induced,167,eval_input,2020-02-21 09:21:51,-6,21,,,,
mthain,Induced,168,eval_input,2020-02-21 09:21:53,1,0,,,,
mthain,Induced,169,eval_input,2020-02-21 09:21:54,12,66,,,,
mthain,Induced,170,eval_input,2020-02-21 09:21:56,2,1,,,,
mthain,Induced,171,eval_input,2020-02-21 09:21:57,3,3,,,,
mthain,Induced,172,eval_input,2020-02-21 09:21:58,4,6,,,,
mthain,Induced,173,eval_input,2020-02-21 09:21:59,5,10,,,,
mthain,Induced,174,eval_input,2020-02-21 09:22:00,6,15,,,,
mthain,Induced,175,eval_input,2020-02-21 09:22:01,7,21,,,,
mthain,Induced,176,quiz_answer,2020-02-21 09:23:52,11,89,0,55,false,
mthain,Induced,177,cheat_attempt,2020-02-21 09:24:04,11,55,,,,
mthain,Induced,178,quiz_answer,2020-02-21 09:26:44,11,55,0,55,true,
mthain,Induced,179,quiz_answer,2020-02-21 09:26:53,9,21,1,36,false,
