SumParityInt,
6,0.516666666666667
6,0
6,0.319444444444444
6,0.3
6,0.444444444444444
6,0.333333333333333
6,0.638888888888889
6,0.638888888888889
7,0.404761904761905
7,0.30952380952381
8,0.433333333333333
8,0.3125
9,0.487037037037037
9,0.459259259259259
9,0.435185185185185
9,0.388888888888889
9,0.385185185185185
9,0.518518518518519
10,0.333333333333333
10,0.441666666666667
10,0.616666666666667
11,0.421212121212121
11,0.545454545454546
12,0.611111111111111
12,0.541666666666667
13,0.446153846153846
13,0.455128205128205
13,0.391025641025641
13,0.615384615384615
13,0.58974358974359
14,0.54047619047619
14,0.44047619047619
14,0.595238095238095
14,0.583333333333333
15,0.611111111111111
15,0.6
16,0.475
16,0.360416666666667
16,0.372916666666667
16,0.545833333333333
16,0.645833333333333
16,0.760416666666666
17,0.044117647058824
17,0.529411764705882
18,0.530555555555556
18,0.430555555555556
18,0.439814814814815
18,0.543518518518519
18,0.377777777777778
18,0.564814814814815
18,0.638888888888889
18,0.546296296296296
18,0.611111111111111
18,0.675925925925926
18,0.666666666666667
19,0.640350877192982
19,0.570175438596491
20,0.388333333333333
20,0.608333333333333
21,0.403174603174603
21,0.587301587301587
21,0.76984126984127
21,0.619047619047619
22,0.459090909090909
22,0.508333333333333
22,0.109848484848485
22,0.401515151515151
22,0.590909090909091
22,0.621212121212121
22,0.606060606060606
23,0.46231884057971
23,0.623188405797101
24,0.509722222222222
24,0.618055555555555
25,0.219333333333333
25,0.666666666666667
27,0.425925925925926
27,0.641975308641975
28,0.444047619047619
29,0.475862068965517
29,0.666666666666667
30,0.622222222222222
30,0.722222222222222
31,0.517741935483871
31,0.431720430107527
31,0.582795698924731
31,0.618279569892473
31,0.596774193548387
31,0.596774193548387
32,0.640625
33,0.636363636363636
33,0.631313131313131
34,0.700980392156863
34,0.661764705882353
34,0.637254901960784
34,0.602941176470588
35,0.661904761904762
35,0.585714285714286
35,0.585714285714286
36,0.634259259259259
40,0.595833333333333
42,0.619047619047619
42,0.630952380952381
42,0.634920634920635
43,0.647286821705427
44,0.470075757575758
45,0.637037037037037
46,0.677536231884058
48,0.621527777777778
50,0.514333333333333
50,0.623333333333334
52,0.628205128205128
53,0.676100628930818
56,0.657738095238096
57,0.637426900584795
57,0.614035087719298
57,0.631578947368421
59,0.414689265536723
59,0.621468926553672
59,0.644067796610169
60,0.633333333333333
61,0.655737704918033
61,0.609289617486339
62,0.615591397849463
62,0.623655913978495
63,0.621693121693122
63,0.637566137566138
65,0.651282051282051
67,0.624378109452736
67,0.619402985074627
70,0.628571428571429
130,0.644871794871795
